frame_number,landmark,x,y,z
6,RIGHT_PINKY,0.2726,0.5888,-0.1853
6,LEFT_INDEX,0.4441,0.6098,-0.2664
6,RIGHT_INDEX,0.2782,0.5868,-0.2285
6,LEFT_THUMB,0.4414,0.5992,-0.2132
6,RIGHT_THUMB,0.2829,0.5749,-0.1747
6,LEFT_HIP,0.4015,0.5762,-0.0097
6,RIGHT_HIP,0.3329,0.5726,0.0095
6,LEFT_KNEE,0.3954,0.7459,0.0141
6,RIGHT_KNEE,0.3325,0.7436,0.0262
6,LEFT_ANKLE,0.3911,0.8923,0.229
6,RIGHT_ANKLE,0.3311,0.8916,0.2308
6,LEFT_HEEL,0.3851,0.9077,0.2389
6,RIGHT_HEEL,0.3386,0.9102,0.2412
6,LEFT_FOOT_INDEX,0.3912,0.9549,0.083
6,RIGHT_FOOT_INDEX,0.3132,0.9556,0.0886
7,NOSE,0.3597,0.2511,-0.3969
7,LEFT_EYE_INNER,0.3692,0.2391,-0.3804
7,LEFT_EYE,0.374,0.2396,-0.3804
7,LEFT_EYE_OUTER,0.3787,0.24,-0.3804
7,RIGHT_EYE_INNER,0.3574,0.2385,-0.3783
7,RIGHT_EYE,0.3544,0.2385,-0.3783
7,RIGHT_EYE_OUTER,0.3514,0.2386,-0.3784
7,LEFT_EAR,0.3869,0.247,-0.2541
7,RIGHT_EAR,0.3527,0.2438,-0.2427
7,MOUTH_LEFT,0.3681,0.2685,-0.3463
7,MOUTH_RIGHT,0.3533,0.267,-0.3442
7,LEFT_SHOULDER,0.4274,0.3478,-0.1655
7,RIGHT_SHOULDER,0.3152,0.3393,-0.1277
7,LEFT_ELBOW,0.4475,0.471,-0.1032
7,RIGHT_ELBOW,0.2938,0.4575,-0.0553
7,LEFT_WRIST,0.452,0.5799,-0.2042
7,RIGHT_WRIST,0.2785,0.5552,-0.1619
7,LEFT_PINKY,0.4529,0.608,-0.2366
7,RIGHT_PINKY,0.2728,0.5885,-0.1937
7,LEFT_INDEX,0.4428,0.6063,-0.2779
7,RIGHT_INDEX,0.2787,0.5866,-0.2357
7,LEFT_THUMB,0.4403,0.5959,-0.2216
